Date,Invoice No,Distributor,Description,Account Code,Amount
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/01/2014,13947,20,,12010,72.000
01/01/2014,13947,20,Room Charge from : 41500513,40200,-72.000
01/02/2014,13947,20,,12010,72.000
01/02/2014,13947,20,Room Charge from : 41500513,40200,-72.000
01/03/2014,13947,20,,12010,-648.000
01/03/2014,13947,20,Cash,11100,1000.000
01/03/2014,13947,20,Deposit Transfer(Transfer from folio: 41480513 and Invoice No :13946),2001,72.000
01/03/2014,13947,20,Laundry- Shirt 1.(Transfer from folio: 41480513 and Invoice No :13946),45200,-1.500
01/03/2014,13947,20,Laundry(Transfer from folio: 41480513 and Invoice No :13946),45200,-1.500
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Room Charge(Transfer from folio: 41480513 and Invoice No :13946),40200,-72.000
01/03/2014,13947,20,Visa Card/Credit Card,11300,299.000
01/01/2014,13948,17,,12010,38.000
01/01/2014,13948,17,Room Charge from : 41520513,40100,-38.000
01/02/2014,13948,17,,12010,38.000
01/02/2014,13948,17,Room Charge from : 41520513,40100,-38.000
01/03/2014,13948,17,,12010,-380.000
01/03/2014,13948,17,Deposit Transfer(Transfer to folio: 41540513 and Invoice No :13949),2001,-38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/03/2014,13948,17,Room Charge(Transfer to folio: 41540513 and Invoice No :13949),40100,38.000
01/01/2014,13949,19,,12010,38.000
01/01/2014,13949,19,Room Charge from : 41540513,40100,-38.000
01/02/2014,13949,19,,12010,38.000
01/02/2014,13949,19,Room Charge from : 41540513,40100,-38.000
01/03/2014,13949,19,,12010,-380.000
01/03/2014,13949,19,Cash,11100,684.000
01/03/2014,13949,19,Deposit Transfer(Transfer from folio: 41520513 and Invoice No :13948),2001,38.000
01/03/2014,13949,19,Rebate Revenue- Rebate for promotion 8 day free one day,45400,76.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/03/2014,13949,19,Room Charge(Transfer from folio: 41520513 and Invoice No :13948),40100,-38.000
01/02/2014,14833,12,Cash- Keo paid for car broken for Jan 2014,11100,50.000
01/02/2014,14833,12,Other Charge- Keo paid for car broken for Jan 2014,45400,-50.000
01/03/2014,14833,12,,12010,91.000
01/03/2014,14833,12,Room Charge(Transfer from folio: 560114 and Invoice No :16915),40100,-91.000
01/11/2014,14833,12,Cash in bank (SBC)- Received from Agoda booking for pay to other hotel,11400,61.420
01/11/2014,14833,12,Other Charge- Over booking and charge from Agoda for pay to other hotel,45400,-61.420
01/14/2014,14833,12,,12010,-91.000
01/14/2014,14833,12,Room Charge(Transfer to folio: 25240114 and Invoice No :0),40100,91.000
01/28/2014,14833,12,Cash in bank (SBC)- Expedia Over booking batch: 000094,11400,333.500
01/28/2014,14833,12,Cash in bank (SBC)- Over booking Agoda Batch: 000096,11400,61.420
01/28/2014,14833,12,Other Charge- Agoda Over booking batch: 000096,45400,-61.420
01/28/2014,14833,12,Other Charge- Expedia Over booking batch: 000094,45400,-333.500
01/02/2014,15946,2,,23100,109.000
01/02/2014,15946,2,Deposit Transfer(Transfer to folio: 25481213 and Invoice No :16876),2001,-109.000
01/02/2014,15962,2,,12010,-147.000
01/02/2014,15962,2,Ministry of Tourism cash 147$,11100,147.000
01/16/2014,15972,2,,12010,-141.000
01/16/2014,15972,2,Green Era Travel Chq: 141$,11900,141.000
01/01/2014,16154,24,,23100,73.000
01/01/2014,16154,24,Room Charge from : 5171113,40200,-73.000
01/02/2014,16154,24,,23100,103.000
01/02/2014,16154,24,Other Charge- Surcharge on 01/Jan/2014,45400,-30.000
01/02/2014,16154,24,Room Charge from : 5171113,40200,-73.000
01/03/2014,16154,24,,23100,103.000
01/03/2014,16154,24,Other Charge- Adjust for 02/Jan/2014,45400,-30.000
01/03/2014,16154,24,Room Charge from : 5171113,40200,-73.000
01/04/2014,16154,24,,23100,73.000
01/04/2014,16154,24,Room Charge from : 5171113,40200,-73.000
01/05/2014,16154,24,,23100,912.000
01/05/2014,16154,24,Deposit Transfer(Transfer to folio: 5161113 and Invoice No :16788),2001,-1719.000
01/05/2014,16154,24,Other Charge- Adjust for 02/Jan/2014(Transfer to folio: 5161113 and Invoice No :16788),45400,30.000
01/05/2014,16154,24,Other Charge- Surcharge on 01/Jan/2014(Transfer to folio: 5161113 and Invoice No :16788),45400,30.000
01/05/2014,16154,24,Other Charge- Surcharge on 29-30/Dec/2013(Transfer to folio: 5161113 and Invoice No :16788),45400,60.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,73.000
01/05/2014,16154,24,Room Charge(Transfer to folio: 5161113 and Invoice No :16788),40200,103.000
01/17/2014,16310,2,,12010,-288.000
01/17/2014,16310,2,Exotissimo Travel Cambodia chq: 564$,11900,288.000
01/24/2014,16334,2,,12010,-228.000
01/24/2014,16334,2,Prudentail Chq: 228$,11900,228.000
01/29/2014,16363,2,,12010,-84.000
01/29/2014,16363,2,VLK Chq: 351$,11900,84.000
01/11/2014,16383,2,,12010,-219.000
01/11/2014,16383,2,Mekong Discovery chq: 219$,11900,219.000
01/29/2014,16389,2,,12010,-219.000
01/29/2014,16389,2,VLK Chq: 351$,11900,219.000
01/29/2014,16399,2,,12010,-48.000
01/29/2014,16399,2,VLK Chq: 351$,11900,48.000
01/22/2014,16476,2,,12010,-195.000
01/22/2014,16476,2,My Window Company Chq: 195$,11900,195.000
01/16/2014,16556,2,,12010,-72.000
01/16/2014,16556,2,First Travel chq: 72$,11900,72.000
01/11/2014,16642,2,,12010,-193.530
01/11/2014,16642,2,Expedia Settle SBC batch: 000093,11400,193.530
01/11/2014,16648,2,,12010,-285.440
01/11/2014,16648,2,Agoda Settle SBC batch: 000091,11400,285.440
01/17/2014,16650,2,,12010,-276.000
01/17/2014,16650,2,Exotissimo Travel Cambodia chq: 564$,11900,276.000
01/03/2014,16651,25,,23100,72.000
01/03/2014,16651,25,Room Charge from : 4181113,40200,-72.000
01/04/2014,16651,25,,23100,89.850
01/04/2014,16651,25,Laundry- 2 trousers, 2 shirt, 1 Underpants,45200,-8.500
01/04/2014,16651,25,RESTAURANT : Lobby Bar,41000,-9.350
01/04/2014,16651,25,Room Charge from : 4181113,40200,-72.000
01/05/2014,16651,25,,23100,72.000
01/05/2014,16651,25,Room Charge from : 4181113,40200,-72.000
01/06/2014,16651,25,,23100,414.150
01/06/2014,16651,25,Cash(Transfer from folio: 590114 and Invoice No :16938),11100,6.000
01/06/2014,16651,25,Cash(Transfer to folio: 151213 and Invoice No :16937),11100,-6.000
01/06/2014,16651,25,Deposit Transfer(Transfer to folio: 151213 and Invoice No :16937),2001,-648.000
01/06/2014,16651,25,Laundry- 2 trousers, 2 shirt, 1 Underpants(Transfer to folio: 151213 and Invoice No :16937),45200,8.500
01/06/2014,16651,25,Laundry(Transfer from folio: 590114 and Invoice No :16938),45200,-6.000
01/06/2014,16651,25,Laundry(Transfer to folio: 151213 and Invoice No :16937),45200,6.000
01/06/2014,16651,25,RESTAURANT : Lobby Bar(Transfer to folio: 151213 and Invoice No :16937),41000,9.350
01/06/2014,16651,25,Room Charge(Transfer from folio: 590114 and Invoice No :16938),40200,-72.000
01/06/2014,16651,25,Room Charge(Transfer from folio: 590114 and Invoice No :16938),40200,-72.000
01/06/2014,16651,25,Room Charge(Transfer from folio: 590114 and Invoice No :16938),40200,-72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/06/2014,16651,25,Room Charge(Transfer to folio: 151213 and Invoice No :16937),40200,72.000
01/25/2014,16652,30,Cash,11100,409.500
01/25/2014,16652,30,Room Charge from : 38270114,40100,-39.000
01/25/2014,16652,30,Room Charge from : 38280114,40100,-39.000
01/25/2014,16652,30,Room Charge from : 38290114,40100,-39.000
01/25/2014,16652,30,Room Charge from : 38300114,40100,-39.000
01/25/2014,16652,30,Room Charge from : 38310114,40100,-39.000
01/26/2014,16652,30,Cash- paid for room charge(Transfer from folio: 38890114 and Invoice No :17326),11100,312.000
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer from folio: 34940114 and Invoice No :17327),41000,-7.700
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer from folio: 34940114 and Invoice No :17327),41000,-2.750
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer from folio: 38890114 and Invoice No :17326),41000,-1.650
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer to folio: 34940114 and Invoice No :17327),41000,2.750
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer to folio: 34940114 and Invoice No :17327),41000,7.700
01/26/2014,16652,30,RESTAURANT : Lobby Bar(Transfer to folio: 38890114 and Invoice No :17326),41000,1.650
01/26/2014,16652,30,Room Charge- folio: 34880114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 34900114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 34920114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 34940114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 34960114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 35020114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge- folio: 39170114(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/26/2014,16652,30,Room Charge from : 38270114,40100,-39.000
01/26/2014,16652,30,Room Charge from : 38280114,40100,-39.000
01/26/2014,16652,30,Room Charge from : 38290114,40100,-39.000
01/26/2014,16652,30,Room Charge from : 38300114,40100,-39.000
01/26/2014,16652,30,Room Charge from : 38310114,40100,-39.000
01/26/2014,16652,30,Room Charge(Transfer from folio: 38890114 and Invoice No :17326),40100,-39.000
01/27/2014,16652,30,Room Charge(Transfer from folio: 38050114 and Invoice No :17334),40100,-39.000
01/27/2014,16652,30,Room Charge(Transfer from folio: 38050114 and Invoice No :17334),40100,-39.000
01/27/2014,16652,30,Room Charge(Transfer from folio: 38060114 and Invoice No :17335),40100,-39.000
01/27/2014,16652,30,Room Charge(Transfer from folio: 38060114 and Invoice No :17335),40100,-39.000
01/11/2014,16659,2,,12010,-64.510
01/11/2014,16659,2,Expedia Settle SBC batch: 000093,11400,64.510
01/08/2014,16665,50,,23100,49.000
01/08/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/09/2014,16665,50,,23100,49.000
01/09/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/10/2014,16665,50,,12010,42.000
01/10/2014,16665,50,,23100,7.000
01/10/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/11/2014,16665,50,,12010,49.000
01/11/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/12/2014,16665,50,,12010,49.000
01/12/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/13/2014,16665,50,,12010,49.000
01/13/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/14/2014,16665,50,,12010,49.000
01/14/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/15/2014,16665,50,,12010,49.000
01/15/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/16/2014,16665,50,,12010,49.000
01/16/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/17/2014,16665,50,,12010,49.000
01/17/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/18/2014,16665,50,,12010,49.000
01/18/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/19/2014,16665,50,,12010,49.000
01/19/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/20/2014,16665,50,,12010,49.000
01/20/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/21/2014,16665,50,,12010,49.000
01/21/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/22/2014,16665,50,,12010,49.000
01/22/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/23/2014,16665,50,,12010,49.000
01/23/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/24/2014,16665,50,,12010,49.000
01/24/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/25/2014,16665,50,,12010,49.000
01/25/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/26/2014,16665,50,,12010,-686.000
01/26/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/26/2014,16665,50,Visa Card/Credit Card,11300,735.000
01/27/2014,16665,50,,12010,49.000
01/27/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/28/2014,16665,50,,12010,49.000
01/28/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/29/2014,16665,50,,12010,49.000
01/29/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/30/2014,16665,50,,12010,49.000
01/30/2014,16665,50,Room Charge from : 11251213,40100,-49.000
01/31/2014,16665,50,,12010,79.000
01/31/2014,16665,50,Room Charge from : 11251213,40100,-79.000
01/01/2014,16668,47,,23100,66.000
01/01/2014,16668,47,Room Charge from : 6830913,40200,-66.000
01/02/2014,16668,47,,12010,9.600
01/02/2014,16668,47,,23100,56.400
01/02/2014,16668,47,Room Charge from : 6830913,40200,-66.000
01/03/2014,16668,47,,12010,150.000
01/03/2014,16668,47,Other Charge- Adjust for 01/Jan/2014,45400,-38.000
01/03/2014,16668,47,Other Charge- Adjust for 02/Jan/2014,45400,-38.000
01/03/2014,16668,47,Room Charge from : 6830913,40200,-74.000
01/04/2014,16668,47,,12010,74.000
01/04/2014,16668,47,Room Charge from : 6830913,40200,-74.000
01/05/2014,16668,47,,12010,-233.600
01/05/2014,16668,47,Cash,11100,233.600
01/05/2014,16668,47,Cash(Transfer to folio: 3840114 and Invoice No :0),11100,-1614.000
01/05/2014,16668,47,Cash(Transfer to folio: 3840114 and Invoice No :0),11100,-233.600
01/05/2014,16668,47,Extrabed Charge- on 25.26.27 3 day(Transfer to folio: 3840114 and Invoice No :0),45400,90.000
01/05/2014,16668,47,Extrabed Charge- on 28.dec.13(Transfer to folio: 3840114 and Invoice No :0),45400,30.000
01/05/2014,16668,47,Extrabed Charge(Transfer to folio: 3840114 and Invoice No :0),45400,30.000
01/05/2014,16668,47,Extrabed Charge(Transfer to folio: 3840114 and Invoice No :0),45400,30.000
01/05/2014,16668,47,Extrabed Charge(Transfer to folio: 3840114 and Invoice No :0),45400,30.000
01/05/2014,16668,47,Laundry- trouser 1,shirt 4.(Transfer to folio: 3840114 and Invoice No :0),45200,7.500
01/05/2014,16668,47,Laundry- Trouser 2.Shirt 2.underpant 1.(Transfer to folio: 3840114 and Invoice No :0),45200,7.000
01/05/2014,16668,47,Laundry(Transfer to folio: 3840114 and Invoice No :0),45200,2.500
01/05/2014,16668,47,Other Charge- Adjust for 01/Jan/2014(Transfer to folio: 3840114 and Invoice No :0),45400,38.000
01/05/2014,16668,47,Other Charge- Adjust for 02/Jan/2014(Transfer to folio: 3840114 and Invoice No :0),45400,38.000
01/05/2014,16668,47,Other Charge- Gala Dinner charge 2 adult = 80.00 $(Transfer to folio: 3840114 and Invoice No :0),45400,80.000
01/05/2014,16668,47,Other Charge- ticket 2pax(Transfer to folio: 3840114 and Invoice No :0),45400,80.000
01/05/2014,16668,47,Rebate Revenue- Wrong room charge(Night Audit run room charge + Gala dinner ticket) on 24-12-13(Transfer to folio: 3840114 and Invoice No :0),45400,-80.000
01/05/2014,16668,47,RESTAURANT : Lobby Bar(Transfer to folio: 3840114 and Invoice No :0),41000,1.650
01/05/2014,16668,47,RESTAURANT : Lobby Bar(Transfer to folio: 3840114 and Invoice No :0),41000,1.650
01/05/2014,16668,47,RESTAURANT : Lobby Bar(Transfer to folio: 3840114 and Invoice No :0),41000,3.300
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,66.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,66.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,74.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,104.000
01/05/2014,16668,47,Room Charge(Transfer to folio: 3840114 and Invoice No :0),40200,184.000
01/11/2014,16687,2,,12010,-211.500
01/11/2014,16687,2,Expedia Settle SBC batch: 000093,11400,211.500
01/11/2014,16706,2,,12010,-40.670
01/11/2014,16706,2,Agoda Settle Batch: 000092,11400,40.670
01/21/2014,16735,6,Room Charge from : 36140114,40200,-68.000
01/21/2014,16735,6,Room Charge from : 36150114,40200,-68.000
01/21/2014,16735,6,Room Charge from : 36160114,40200,-68.000
01/21/2014,16735,6,Room Charge from : 36170114,40200,-68.000
01/21/2014,16735,6,Room Charge from : 36180114,40200,-105.000
01/22/2014,16735,6,Visa Card/Credit Card,11300,282.000
01/01/2014,16739,36,,12010,49.800
01/01/2014,16739,36,Room Charge from : 15991013,40200,-49.800
01/02/2014,16739,36,,12010,53.950
01/02/2014,16739,36,Other Charge- Adjust Rate for 01/Jan/2014,45400,-4.150
01/02/2014,16739,36,Room Charge from : 15991013,40200,-49.800
01/03/2014,16739,36,,12010,49.800
01/03/2014,16739,36,Room Charge from : 15991013,40200,-49.800
01/04/2014,16739,36,,12010,49.800
01/04/2014,16739,36,Room Charge from : 15991013,40200,-49.800
01/05/2014,16739,36,,12010,49.800
01/05/2014,16739,36,Room Charge from : 15991013,40200,-49.800
01/06/2014,16739,36,,12010,1360.100
01/06/2014,16739,36,Cash(Transfer from folio: 8401013 and Invoice No :16740),11100,80.000
01/06/2014,16739,36,Cash(Transfer from folio: 8401013 and Invoice No :16740),11100,80.000
01/06/2014,16739,36,Other Charge- 3 ticket(Transfer from folio: 8401013 and Invoice No :16740),45400,-120.000
01/06/2014,16739,36,Other Charge- 37$ for bchang room typ X13day only one room(Transfer from folio: 8401013 and Invoice No :16740),45400,-481.000
01/06/2014,16739,36,Other Charge- Adjust Rate for 01/Jan/2014(Transfer from folio: 8401013 and Invoice No :16740),45400,-4.150
01/06/2014,16739,36,Other Charge- charge for change  room type(Transfer from folio: 8401013 and Invoice No :16740),45400,-37.000
01/06/2014,16739,36,Other Charge- child 2 2Pax X 20$ = 40 $ Adult 1 40$  (Transfer from folio: 8401013 and Invoice No :16740),45400,-80.000
